field_id,domain,entity,field_name,cn_name,data_type,unit,example,description,related_reports
SF-0034,渠道主数据,Store,biz_district,商圈,string,-,东山商圈,开店甘特商圈,E包
SF-0035,渠道主数据,Guide,guide_id,导购ID,string,-,GD-1022,导购人员ID,人效诊断
SF-0036,渠道主数据,Guide,channel_account_id,矩阵账号ID,string,-,DY-991,抖音/视频号等账号,矩阵/人效
SF-0037,客户用户,Customer,customer_id,客户ID,string,-,CUS-10086,统一客户主数据ID,续费/客服/运营
SF-0038,客户用户,Customer,phone_masked,手机号(脱敏),string,-,138****5678,脱敏手机号,OneID/触达
SF-0039,客户用户,Customer,openid,OpenID,string,-,oxxx,微信OpenID,OneID
SF-0040,客户用户,Customer,unionid,UnionID,string,-,uxxx,微信UnionID,OneID
SF-0041,客户用户,Customer,identity_type,身份类型,enum,-,end_user,end_user|dealer|prospect|employee,工单分析
SF-0042,客户用户,Customer,oneid,OneID,string,-,OID-9f3a,跨系统统一身份,OneID报告
SF-0043,客户用户,Customer,oneid_match_method,识人匹配方式,enum,-,phone,phone|device|vin|probabilistic,OneID报告
SF-0044,客户用户,UserBehavior,app_register_flag,是否App注册,boolean,-,true,是否注册App,激活率
SF-0045,客户用户,UserBehavior,bind_vehicle_flag,是否绑车,boolean,-,true,是否完成绑车,激活率/漏斗
SF-0046,客户用户,UserBehavior,last_active_at,末次活跃时间,datetime,-,2026-07-20T21:00:00+08:00,App/车联末次活跃,续费/分群
SF-0047,客户用户,UserBehavior,active_days_30d,近30天活跃天数,int,天,12,近30天活跃天数,续费/分群
SF-0048,客户用户,UserBehavior,mau_flag,是否计入MAU,boolean,-,true,自然月活跃标记,激活率/月报
SF-0049,客户用户,UserBehavior,dau_flag,是否计入DAU,boolean,-,false,当日活跃标记,激活率
SF-0050,客户用户,UserBehavior,rfm_segment,RFM分群,enum,-,high_value,high_value|potential|silent|churn_risk,分群报告
SF-0051,客户用户,UserBehavior,r_days,R值(距末活天数),int,天,18,Recency,分群报告
SF-0052,客户用户,UserBehavior,f_month,F值(月互动次数),int,次,7,Frequency,分群报告
SF-0053,客户用户,UserBehavior,m_value,M值(价值贡献),number,元,860,配件/服务消费等,分群报告
SF-0054,客户用户,UserBehavior,first_touch_channel,首次触达渠道,string,-,400,首次接触渠道,触点热力图
SF-0055,客户用户,UserBehavior,last_touch_channel,末次触达渠道,string,-,App,最近接触渠道,触点热力图
SF-0056,客户用户,Renewal,service_expire_date,车联服务到期日,date,-,2026-08-15,智能车服务到期,续费漏斗
SF-0057,客户用户,Renewal,due_renew_flag,是否到期应续费,boolean,-,true,进入应续费池,续费漏斗
SF-0058,客户用户,Renewal,paid_flag,是否已付费,boolean,-,false,是否产生付费(需区分新购/续费),续费漏斗
SF-0059,客户用户,Renewal,paid_type,付费类型,enum,-,renew,new_purchase|renew|unknown,续费漏斗
SF-0060,客户用户,Renewal,active_t30_flag,到期前30天活跃,boolean,-,true,T-30活跃,续费漏斗
SF-0061,客户用户,Renewal,active_t7_flag,到期前7天活跃,boolean,-,false,T-7活跃,续费漏斗
SF-0062,客户用户,Renewal,sleep_90d_app_flag,近90天App沉睡,boolean,-,true,90天未用App,续费漏斗
SF-0063,客户用户,Renewal,active_90d_4g_flag,近90天4G活跃,boolean,-,true,4G车近90天有联网,续费漏斗
SF-0064,客户用户,Renewal,renew_intent_score,续费意向分,number,0-1,0.78,模型/规则意向分,续费成绩单
SF-0065,客户用户,Renewal,renew_pool_layer,续费池分层,enum,-,T-30,T-30|T-7|sleep|non_smart,续费洗池
SF-0066,客户用户,Renewal,outreach_channel,触达渠道,enum,-,ai_call,push|sms|ai_call|human|wecom,触达矩阵
SF-0067,客户用户,Renewal,intent_level,外呼意向等级,enum,-,high,high|mid|low,续费成绩单
SF-0068,车辆,Vehicle,vin,车架号VIN,string,-,LQXXXX2026A0001,整车唯一识别,质检/VoC/IoT
SF-0069,车辆,Vehicle,frame_no,车架件号,string,-,FR-778812,PDA绑定车架件,OBD/追溯
SF-0070,车辆,Vehicle,sn,整车序列号,string,-,SN-202607-8891,产线序列号,质检
SF-0071,车辆,Vehicle,vehicle_model,车型,string,-,E60,车型编码/名,几乎全部
SF-0072,车辆,Vehicle,vehicle_config,配置类型,string,-,锂电旗舰,配置档,故障分析
SF-0073,车辆,Vehicle,color,颜色,string,-,哑光黑,车身颜色,排产/断货/零售
SF-0074,车辆,Vehicle,battery_type,电池类型,enum,-,lithium,lead_acid|lithium|graphene,竞品/产品
SF-0075,车辆,Vehicle,battery_spec,电池规格,string,-,48V24Ah,电压安时,竞品/客服
SF-0076,车辆,Vehicle,claimed_range_km,标称续航,number,km,80,官方续航,竞品/产品
SF-0077,车辆,Vehicle,purchase_date,购车日期,date,-,2025-08-01,用户购车日,激活率拆解
SF-0078,车辆,Vehicle,purchase_year,购车年份,int,年,2025,购车年,激活率
SF-0079,车辆,Vehicle,is_smart_vehicle,是否智能车,boolean,-,true,是否具备4G/车联,续费池
SF-0080,车辆,Vehicle,plant,生产基地,string,-,华东一厂,制造基地,故障/质检
SF-0081,车辆,Vehicle,line_id,产线ID,string,-,LINE-03,产线,OBD
SF-0082,车辆,Vehicle,batch_no,整车生产批次,string,-,BATCH-2026W28-E60,整车批次,追溯/VoC
SF-0083,车辆,Vehicle,ota_version,OTA版本,string,-,v2.3.1,车端软件版本,IoT/VoC
SF-0084,商品SKU,SKU,sku_id,SKU ID,string,-,SKU-E60-BK,SKU唯一ID,订单/零售/库存
SF-0085,商品SKU,SKU,sku_name,SKU名称,string,-,E60 哑光黑,SKU显示名,订单/零售
SF-0086,商品SKU,SKU,asp_cny,平均售价ASP,number,元,3299,台均价,断货损失/零售
SF-0087,商品SKU,SKU,hot_slow_flag,爆滞标记,enum,-,hot,hot|normal|slow,动销周报
SF-0088,商品SKU,SKU,substitute_sku_id,替代SKU,string,-,SKU-E60-GY,缺货替代映射,审单/C包
SF-0089,商品SKU,Competitor,competitor_brand,竞品品牌,string,-,雅迪,竞品品牌名,竞品报告
SF-0090,商品SKU,Competitor,competitor_model,竞品车型,string,-,冠能XX,竞品车型名,竞品报告
SF-0091,商品SKU,Competitor,competitor_price_cny,竞品价格,number,元,3699,竞品挂牌/活动价,竞品报告
SF-0092,商品SKU,Competitor,competitor_share,竞品区域份额,number,%,28.0,区域市占,作战地图
SF-0093,商品SKU,Competitor,competitor_share_pp_change,份额变化百分点,number,pp,-1.2,份额环比变化,竞品/作战
SF-0094,商品SKU,Competitor,promo_type,促销类型,string,-,以旧换新,活动类型,竞品报告
SF-0095,商品SKU,Competitor,promo_region,促销区域,string,-,苏皖,活动区域,竞品报告
SF-0096,商品SKU,Competitor,promo_window,促销窗口,string,-,2026-07-01~07-31,活动时间窗,竞品报告
SF-0097,商品SKU,Competitor,price_cut_amt,降价金额,number,元,300,降价幅度,竞品预警
SF-0098,商品SKU,Competitor,sentiment_score,口碑分,number,0-1,0.62,竞品口碑,竞品报告
SF-0099,商品SKU,Competitor,launch_date,上市日期,date,-,2026-06-18,竞品上市日,竞品报告
SF-0100,销售目标,SalesMetric,sales_qty,提货/销量台数,int,台,12480,提货口径销量,渠道分析
SF-0101,销售目标,SalesMetric,sales_target_qty,销量目标台数,int,台,15000,考核销量目标,渠道分析
SF-0102,销售目标,SalesMetric,sales_achieve_rate,销量达成率,number,%,83.2,销量/目标,渠道分析
SF-0103,销售目标,SalesMetric,contract_qty,签约量,int,台,11200,签约台数,渠道分析
SF-0104,销售目标,SalesMetric,contract_target_qty,签约目标,int,台,13000,签约目标,渠道分析
SF-0105,销售目标,SalesMetric,contract_achieve_rate,签约达成率,number,%,86.2,签约/目标,渠道分析
SF-0106,销售目标,SalesMetric,yoy_sales_qty,去年同期销量,int,台,10900,同比基期销量,渠道分析
SF-0107,销售目标,SalesMetric,yoy_rate,同比增长率,number,%,14.5,同比,渠道分析
SF-0108,销售目标,SalesMetric,mom_sales_qty,上月销量,int,台,13100,环比基期,渠道/预警
SF-0109,销售目标,SalesMetric,mom_rate,环比增长率,number,%,-4.7,环比,渠道/预警
SF-0110,销售目标,SalesMetric,rank_warzone,大战区排名,int,-,2,大战区排名,渠道分析
SF-0111,销售目标,SalesMetric,rank_subzone,小战区排名,int,-,5,小战区排名,渠道分析
SF-0112,销售目标,SalesMetric,rank_dealer,一代排名,int,-,18,一代排名,A包
SF-0113,销售目标,SalesMetric,full_achieve_outlet_cnt,100%达成网点数,int,个,86,满分网点数,网点健康
SF-0114,销售目标,SalesMetric,full_achieve_outlet_ratio,100%达成网点占比,number,%,41.3,满分网点占比,网点健康
SF-0115,销售目标,SalesMetric,abnormal_outlet_cnt,异常网点数,int,个,23,异常网点数量,B包
SF-0116,销售目标,SalesMetric,abnormal_outlet_ratio,异常网点占比,number,%,11.1,异常占比,B包
SF-0117,销售目标,SalesMetric,abnormal_reason,异常原因,string,-,颜色缺货,异常归因,B包
SF-0118,销售目标,SalesMetric,abnormal_reason_cnt,异常原因次数,int,次,9,该原因出现次数,B包
SF-0119,销售目标,SalesMetric,core_market_gap_to_top3,核心市场前三差距,int,台,1260,与区域第一差距,渠道分析
SF-0120,销售目标,SalesMetric,online_sales_qty,线上销量,int,台,860,电商/直播销量,新零售/A包
SF-0121,销售目标,Health,health_index,经营健康指数,number,0-100,72,一代综合健康分,健康指数
SF-0122,销售目标,Health,sales_score,销量分项分,number,0-100,75,健康指数分项,健康指数
SF-0123,销售目标,Health,retail_score,零售分项分,number,0-100,68,健康指数分项,健康指数
SF-0124,销售目标,Health,compliance_score,合规分项分,number,0-100,80,健康指数分项,健康指数
SF-0125,销售目标,Health,complaint_score,客诉分项分,number,0-100,70,健康指数分项,健康指数
SF-0126,销售目标,Health,inventory_turn_score,库存周转分项分,number,0-100,65,健康指数分项,健康指数
SF-0127,渠道开发,StoreDev,blank_l1_plan_cnt,空白一网计划数,int,个,18,计划开发空白一网,E包
SF-0128,渠道开发,StoreDev,blank_l1_opened_cnt,空白一网已开数,int,个,11,已开空白一网,E包
SF-0129,渠道开发,StoreDev,blank_l1_achieve_rate,空白一网达成率,number,%,61.1,已开/计划,E包
SF-0130,渠道开发,StoreDev,store_dev_plan_cnt,门店开发计划数,int,个,120,年度开发计划,E包
SF-0131,渠道开发,StoreDev,store_dev_done_cnt,门店开发完成数,int,个,74,累计完成,E包
SF-0132,渠道开发,StoreDev,store_dev_rate,门店开发完成率,number,%,61.7,完成/计划,E包
SF-0133,渠道开发,StoreDev,market_capacity_annual,县域年市场容量,int,台,42000,两轮电动年容量,作战地图
SF-0134,渠道开发,StoreDev,self_coverage_flag,本品覆盖标记,enum,-,blank,yes|weak|blank,作战地图
SF-0135,渠道开发,StoreDev,open_roi_months,开店回收月数,number,月,14,投资回收预测,作战地图/E包
SF-0136,渠道开发,StoreDev,support_quota_total_wan,支持额度总额,number,万元,15,开店支持总额度,E包
SF-0137,渠道开发,StoreDev,support_quota_applied_wan,已申请额度,number,万元,8,已申请,E包
SF-0138,渠道开发,StoreDev,support_quota_remain_wan,剩余额度,number,万元,7,剩余,E包
SF-0139,渠道开发,StoreDev,first_order_qty,首批订单量,int,台,80,新商首批提货,E包
SF-0140,渠道开发,StoreDev,m1_m3_order_qty,1-3月订单量,int,台,210,新商前三月提货,E包
SF-0141,渠道开发,StoreDev,gantt_owner,开店负责人,string,-,张三,开店甘特负责人,E包
SF-0142,渠道开发,StoreDev,gantt_start,开店开始日,date,-,2026-07-01,甘特开始,E包
SF-0143,渠道开发,StoreDev,gantt_end,开店结束日,date,-,2026-09-15,甘特结束,E包
SF-0144,渠道开发,StoreDev,fitout_suggest_grade,装修建议等级,enum,-,B,装修定级建议,E包
SF-0145,渠道开发,Risk,credit_code,统一社会信用代码,string,-,9132XXXXXXXX,工商代码,加盟/合作风控
SF-0146,渠道开发,Risk,reg_capital_wan,注册资本,number,万元,500,注册资本,风控
SF-0147,渠道开发,Risk,lawsuit_cnt_3y,近3年诉讼数,int,件,2,司法风险,风控
SF-0148,渠道开发,Risk,dishonest_flag,是否失信,boolean,-,false,失信被执行,风控
SF-0149,渠道开发,Risk,negative_news_cnt_90d,近90天负面舆情数,int,条,1,舆情风险,风控
SF-0150,渠道开发,Risk,risk_level,风险等级,enum,-,medium,low|medium|high,风控报告
SF-0151,渠道开发,Risk,risk_score,风险评分,number,0-100,62,综合风险分,风控报告
SF-0152,渠道开发,Risk,admission_suggest,准入建议,enum,-,supplement,pass|supplement|reject,加盟风控
SF-0153,订单库存政策,Order,order_id,订单号,string,-,SO-77821,订单唯一号,C包/审单
SF-0154,订单库存政策,Order,order_qty,订单数量,int,台,30,下单台数,C包
SF-0155,订单库存政策,Order,order_status,订单状态,enum,-,pending_audit,草稿/待审/通过/驳回/发货/完成,C包
SF-0156,订单库存政策,Order,audit_result,审单结果,enum,-,suggest_substitute,通过|缺货驳回|建议替代,智能审单
SF-0157,订单库存政策,Inventory,wms_stock_qty,WMS库存,int,台,120,仓内库存,C/B包
SF-0158,订单库存政策,Inventory,wms_in_transit_qty,WMS在途,int,台,45,在途数量,C包
SF-0159,订单库存政策,Inventory,store_stock_qty,门店库存,int,台,8,门店现货,C/D包
SF-0160,订单库存政策,Inventory,stock_days_cover,库存可售天数,number,天,1.2,库存覆盖天数,断货预警
SF-0161,订单库存政策,Inventory,stock_age_days,库龄天数,int,天,51,滞销库龄,动销周报
SF-0162,订单库存政策,Inventory,inventory_turn_days,库存周转天数,number,天,28,周转天数,健康指数/标杆
SF-0163,订单库存政策,Inventory,shortage_days,断货天数,int,天,11,持续缺货天数,断货损失
SF-0164,订单库存政策,Inventory,demand_daily_est,日均需求估计,number,台/日,18,需求估计,断货损失
SF-0165,订单库存政策,Inventory,lost_units_est,估损台数,int,台,198,断货损失台数,断货损失
SF-0166,订单库存政策,Inventory,lost_gmv_est,估损GMV,number,元,653202,断货损失销售额,断货损失
SF-0167,订单库存政策,Inventory,lost_margin_est,估损毛利,number,元,117576,断货损失毛利,断货损失
SF-0168,订单库存政策,Inventory,shortage_root_cause,断货根因,enum,-,color_plan,排产|物流|颜色计划|供应,断货损失
SF-0169,订单库存政策,Inventory,replenish_qty_suggest,建议补货量,int,台,200,建议补货,断货损失
SF-0170,订单库存政策,Inventory,eta_date,预计到货日,date,-,2026-08-05,补货ETA,断货/C包
SF-0171,订单库存政策,Policy,policy_version,政策版本,string,-,2026Q3-提货返利-V3,销售政策版本,C包/结算
SF-0172,订单库存政策,Policy,current_rebate_tier,当前返利档位,string,-,银牌档,当前档位名,政策提示
SF-0173,订单库存政策,Policy,current_pickup_qty_mtd,本月已提货,int,台,612,当月累计提货,政策模拟
SF-0174,订单库存政策,Policy,qty_to_next_tier,距下一档台数,int,台,188,冲档缺口,政策模拟
SF-0175,订单库存政策,Policy,next_tier_name,下一档位名,string,-,金牌档,目标档位,政策模拟
SF-0176,订单库存政策,Policy,next_tier_rebate_amt,达下一档预计返利,number,元,28000,冲档返利增量,政策模拟
SF-0177,订单库存政策,Policy,rebate_rate,返利点数,number,%,3.5,返利比例,结算单
SF-0178,订单库存政策,Policy,color_bonus_amt,颜色齐全奖励,number,元,2000,颜色点位奖励,结算单
SF-0179,订单库存政策,Policy,clawback_amt,扣回金额,number,元,500,违规/未达扣回,结算单
SF-0180,订单库存政策,Policy,payable_amt,应结金额,number,元,29500,应付返利,结算单
SF-0181,订单库存政策,Policy,settlement_id,结算单号,string,-,STL-2026Q3-3201,结算单ID,返利结算单
SF-0182,订单库存政策,Policy,pay_status,支付状态,enum,-,unpaid,unpaid|paid|exception,结算单
SF-0183,订单库存政策,ColorPlan,color_plan_week,颜色排产周,string,-,2026-W31,排产周次,PMC/C包
SF-0184,订单库存政策,ColorPlan,color_plan_qty,颜色计划产量,int,台,120,该颜色计划产量,PMC
SF-0185,零售营销,Retail,retail_qty,零售台数,int,台,46,输卡/零售量,D包/日报
SF-0186,零售营销,Retail,retail_qty_day,当日零售,int,台,6,日零售,零售日报
SF-0187,零售营销,Retail,retail_qty_mtd,月累计零售,int,台,142,月零售,零售日报
SF-0188,零售营销,Retail,retail_yoy,零售同比,number,%,8.2,零售同比,D包
SF-0189,零售营销,Retail,writeoff_qty,核销数量,int,台,28,活动核销台数,D包
SF-0190,零售营销,Retail,redeem_rate,核销率,number,%,62.0,核销/应核销,D包/活动
SF-0191,零售营销,Retail,gross_margin_amt,毛利额,number,元,9860,毛利金额,零售报表
SF-0192,零售营销,Retail,gross_margin_rate,毛利率,number,%,17.9,毛利率,零售报表
SF-0193,零售营销,Retail,non_exclusive_rate,非专卖率,number,%,0,混营/非专卖占比,合规/零售
SF-0194,零售营销,Retail,non_exclusive_flag,非专卖标记,boolean,-,false,是否非专卖门店,巡检
SF-0195,零售营销,Campaign,campaign_id,活动ID,string,-,CAMP-暑期换新,营销活动ID,D包/活动效果
SF-0196,零售营销,Campaign,campaign_name,活动名称,string,-,暑期以旧换新,活动名,D包
SF-0197,零售营销,Campaign,campaign_goal,活动目标,string,-,提升续费转化,活动目标,活动策划
SF-0198,零售营销,Campaign,campaign_budget,活动预算,number,元,50000,预算,活动效果
SF-0199,零售营销,Campaign,participants,参与人数,int,人,3200,参与人数,活动效果
SF-0200,零售营销,Campaign,campaign_roi,活动ROI,number,-,2.4,投入产出比,活动效果
SF-0201,零售营销,Campaign,campaign_complaint_rate,活动投诉率,number,%,0.3,活动相关投诉率,活动效果
SF-0202,零售营销,Content,short_video_cnt,短视频数,int,条,2140,短视频产量,新零售/A包
SF-0203,零售营销,Content,short_video_valid_participate_rate,短视频有效参与率,number,%,38.5,有效参与占比,A包
SF-0204,零售营销,Content,followers,粉丝数,int,人,12400,账号粉丝,矩阵监测
SF-0205,零售营销,Content,play_cnt,播放量,int,次,86000,播放量,矩阵/人效
SF-0206,零售营销,Content,gmv_convert_rate,带货转化率,number,%,1.8,播放→成交,矩阵/人效
SF-0207,零售营销,Content,deals_cnt,成交单数,int,单,36,导购成交数,人效诊断
SF-0208,零售营销,Content,gmv,成交额GMV,number,元,118764,成交额,人效/直播
SF-0209,零售营销,Content,aov,客单价,number,元,3299,笔单价,人效诊断
SF-0210,零售营销,Content,valid_seller_flag,是否有效带货账号,boolean,-,true,有效带货判定,人效诊断
SF-0211,零售营销,Content,live_sessions,直播场次,int,场,12,直播场次,新零售报告
SF-0212,零售营销,Content,live_watch_uv,直播观看UV,int,人,5600,直播观看人数,新零售报告
SF-0213,零售营销,Content,influencer_cvr,达人转化率,number,%,2.1,达人带货转化,新零售报告
SF-0214,零售营销,Content,refund_rate,退款率,number,%,1.2,退款占比,新零售报告
SF-0215,零售营销,Content,content_script_id,脚本/素材ID,string,-,SCRIPT-续航对比-01,内容资产ID,D包
SF-0216,零售营销,Content,benchmark_case_id,标杆案例ID,string,-,CASE-苏州吴中店,标杆案例,标杆报告
SF-0217,零售营销,Outreach,channel_quota_daily,渠道日配额,int,次,5000,触达日配额,触达矩阵
SF-0218,零售营销,Outreach,delivery_rate,到达率,number,%,96.2,消息到达率,触达矩阵
SF-0219,零售营销,Outreach,open_rate,打开率,number,%,28.4,打开/点击率,触达矩阵
SF-0220,零售营销,Outreach,connect_rate,接通率,number,%,41.0,外呼接通率,续费成绩单
SF-0221,零售营销,Outreach,transfer_human_cnt,转人工数,int,人,86,高意向转人工,续费成绩单
SF-0222,零售营销,Outreach,template_approve_days,模板审核周期,number,天,2,审核天数,触达矩阵
SF-0223,工单服务,Ticket,ticket_id,工单ID,string,-,TK-20260728-8891,工单唯一ID,客服/VoC
SF-0224,工单服务,Ticket,ticket_type,工单类型,enum,-,fault,fault|consult|complaint|other,工单分析
SF-0225,工单服务,Ticket,fault_category,故障大类,enum,-,battery,电池|电机|刹车|控制器|充电|仪表|车架|灯具|轮胎|其他,故障分析
SF-0226,工单服务,Ticket,consult_category,咨询大类,string,-,整车信息,咨询分类,来电分析
SF-0227,工单服务,Ticket,ticket_channel,工单渠道,string,-,400,400|App|电商|门店,VoC汇聚
SF-0228,工单服务,Ticket,ticket_status,工单状态,enum,-,open,open|processing|closed,客服
SF-0229,工单服务,Ticket,ticket_created_at,工单创建时间,datetime,-,2026-07-28T09:12:00+08:00,创建时间,客服
SF-0230,工单服务,Ticket,handle_duration_min,处理时长,number,分钟,18,处理耗时,质检/BIS
SF-0231,工单服务,Ticket,is_complaint,是否投诉,boolean,-,true,投诉标记,客诉报告
SF-0232,工单服务,Ticket,three_guarantees_reject_flag,三包拒保标记,boolean,-,false,三包拒保,客诉区域报告
SF-0233,工单服务,Ticket,desc_text,问题描述文本,text,-,骑行续航明显低于标称,原声/描述,填单/VoC
SF-0234,工单服务,Ticket,desc_chars,描述字数,int,字,86,描述长度,故障分析
SF-0235,工单服务,Ticket,transcript_text,转写文本,text,-,（通话转写全文）,语音转写结果,VoC
SF-0236,工单服务,Ticket,agent_id,坐席/外呼员ID,string,-,AG-2201,客服/外呼人员,质检/续费
SF-0237,工单服务,Ticket,sop_item,SOP质检项,string,-,是否确认VIN与车型,质检项,智能质检
SF-0238,工单服务,Ticket,sop_pass_fail,SOP是否通过,enum,-,pass,pass|fail,智能质检
SF-0239,工单服务,Ticket,risk_words,风险话术词,json,-,"[""绝对没问题""]",质检风险词,智能质检
SF-0240,工单服务,VoC,feedback_id,反馈ID,string,-,FB-99102,VoC反馈唯一ID,VoC全系
SF-0241,工单服务,VoC,nps,NPS,number,-,32,净推荐值,驾驶舱/周月报
SF-0242,工单服务,VoC,csat,CSAT,number,-,4.1,满意度1-5,驾驶舱
SF-0243,工单服务,VoC,nps_delta,NPS变化,number,-,-3,周期NPS变化,周月报
SF-0244,工单服务,VoC,feedback_cnt,反馈量,int,条,1280,周期反馈条数,驾驶舱
SF-0245,工单服务,VoC,tag_id,标签ID,string,-,TAG-续航短,标准标签ID,打标/共享语义
SF-0246,工单服务,VoC,tag_name,标签名称,string,-,续航短,标签名,打标
SF-0247,工单服务,VoC,tag_domain,标签域,enum,-,product,product|service|app|channel|risk,标签字典
SF-0248,工单服务,VoC,sentiment,情感极性,enum,-,neg,pos|neu|neg,打标硬条件
SF-0249,工单服务,VoC,sentiment_score,情感分数,number,-1~1,-0.72,情感强度,情绪地图
SF-0250,工单服务,VoC,problem_theme,问题主题,string,-,续航短,主题聚类名,排行榜/专题
SF-0251,工单服务,VoC,theme_cnt,主题反馈量,int,条,246,主题计数,排行榜
SF-0252,工单服务,VoC,neg_ratio,负面占比,number,%,68.0,主题负面占比,排行榜
SF-0253,工单服务,VoC,wow_change,周环比变化,number,%,22.0,周变化,趋势监测
SF-0254,工单服务,VoC,closed_loop_rate,闭环率,number,%,54.0,已闭环/应闭环,决议/TopN
SF-0255,工单服务,VoC,recurrence_rate,复发率,number,%,12.0,复发占比,闭环回验
SF-0256,工单服务,VoC,cover_dim,报告封面维度,enum,-,vehicle,vehicle|non_vehicle|all,专题报告
SF-0257,工单服务,VoC,module_name,非车板块,enum,-,app,app|miniapp|website|hotline|aftersales,非车专题
SF-0258,工单服务,VoC,sample_voice,代表性原声,text,-,充满电跑不到说明书一半,脱敏原声,专报/专题
SF-0259,工单服务,VoC,clue_confidence,线索置信度,enum,-,medium,weak|medium,排查线索包
SF-0260,工单服务,VoC,severity_risk_level,舆情/公关风险等级,enum,-,P1,P0|P1|P2,危机/专报
SF-0261,工单服务,VoC,consumer_sat_score,消费者满意度,number,%,82.9,调研消费者满意度,满意度报告
SF-0262,工单服务,VoC,channel_sat_score,渠道满意度,number,%,77.1,调研渠道满意度,满意度报告
SF-0263,工单服务,VoC,survey_recover_rate,问卷回收率,number,%,6.1,回收/推送,满意度报告
SF-0264,工单服务,VoC,dissatisfaction_reason,不满原因,string,-,续航短,开放题/选项原因,满意度报告
SF-0265,车联IoT,Telemetry,fault_code,故障码/告警码,string,-,BMS_OT_01,车端告警码,IoT/排查
SF-0266,车联IoT,Telemetry,iot_alert_cnt,告警次数,int,次,3,周期告警次数,驾驶舱/IoT
SF-0267,车联IoT,Telemetry,mileage_km,里程,number,km,3260,累计/周期里程,IoT可用性
SF-0268,车联IoT,Telemetry,soc_pct,电量SOC,number,%,64,剩余电量,主动服务
SF-0269,车联IoT,Telemetry,telemetry_coverage_rate,回传覆盖率,number,%,81.0,有telemetry车辆占比,IoT可用性
